[3] 3:53:10 PM: Log started for 'C:\Tosca_Projects\TOSCA_Workspaces\Harvey Norman\Harvey Norman.tws'
[3] 3:53:10 PM: Log level: 4
[3] 3:53:10 PM: Release: 12.0.0.19268
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:57:50 PM:  ShowStatusInfo: 'Create TestCase from TestCaseItem finished'
[3] 3:57:50 PM: Task 'Create TestCase from TestCaseItem' finished
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Execution''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Issues''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Configurations''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCases''
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh navigation view 'Modules''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Requirements''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'TestCaseDesign''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Execution''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Issues''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Configurations''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'TestCases''
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh detail view 'Modules''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh  'WindowLabels''
[4] 3:57:50 PM:  ShowStatusInfo: 'Refresh all finished'
[4] 3:57:50 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:53 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:53 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:54 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:56 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:56 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:58 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:58 PM:  ShowStatusInfo: '1 object selected'
[4] 3:57:59 PM:  ShowStatusInfo: 'Ready'
[4] 3:57:59 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:01 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:01 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:06 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:07 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:07 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:08 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:08 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:08 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:08 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:15 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:15 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:18 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:18 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:19 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:19 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:20 PM:  ShowStatusInfo: '1 object selected'
[4] 3:58:20 PM:  ShowStatusInfo: 'Ready'
[3] 3:58:22 PM: Task 'Create TestCase' started on '/TestCases/Harvey Norman/TEMP'
[4] 3:58:22 PM:  ShowStatusInfo: 'Create TestCase'
[4] 3:58:22 PM:  ShowStatusInfo: 'Ready'
[4] 3:58:22 PM:  ShowStatusInfo: 'TestCase finalizing ... '
[4] 3:58:22 PM:  ShowStatusInfo: 'Refresh navigation view 'Requirements''
[4] 3:58:22 PM:  ShowStatusInfo: 'Refresh navigation view 'TestCaseDesign''
